"","state","date","newcase","aggcase","newdeath","aggdeath","avgtraffic","uninsured","station","park","grocery","workplace","residential","SAHdate","density","pop","region","SAHduration","order_placed","death_rate","infect_rate","policy"
"59","Alaska",2020-04-19,5,317,0,7,62.9719873513846,82741,-53,69,-14.5,-25.5,9,2020-03-28,1,734002,"West",23,"Y",2.20820189274448,0.0431878932209994,"Loose"
"60","Alaska",2020-03-13,0,1,0,0,462.5720672,32847,-3,6,20,-10,4,2020-03-28,1,734002,"West",0,"N",0,0.000136239410791796,NA
"61","Alaska",2020-04-24,2,337,0,7,62.9719873513846,82741,-45,62,-9,-39.5,16,2020-03-28,1,734002,"West",28,"Y",2.07715133531157,0.0459126814368353,"Medium"
"62","Alaska",2020-03-21,7,21,0,0,153.3366325725,53863,-22,-10,-0.5,-20.5,10,2020-03-28,1,734002,"West",0,"N",0,0.00286102762662772,NA
"63","Alaska",2020-04-27,4,343,0,7,58.4739882548571,84076,-39,NA,-2.5,-35.5,11.5,2020-03-28,1,734002,"West",31,"Y",2.04081632653061,0.0467301179015861,"Loose"
"64","Alaska",2020-04-25,0,337,0,7,62.9719873513846,82741,-41,125,4,-27.5,9,2020-03-28,1,734002,"West",29,"Y",2.07715133531157,0.0459126814368353,"Loose"
"65","Alaska",2020-04-17,9,307,0,7,62.9719873513846,82741,-48,8,-11,-40,17,2020-03-28,1,734002,"West",21,"Y",2.28013029315961,0.0418254991130814,"Medium"
"66","Alaska",2020-03-28,17,102,0,1,126.324850626667,71276,-49,22,-14,-31,13,2020-03-28,1,734002,"West",1,"Y",0.980392156862745,0.0138964199007632,"Loose"
"67","Alaska",2020-03-23,11,36,0,0,126.324850626667,71276,-37,19,-10,-34.5,12.5,2020-03-28,1,734002,"West",0,"N",0,0.00490461878850466,NA
"68","Alaska",2020-04-15,7,291,0,7,68.219652964,80553,-48,-12,-9,-40.5,17,2020-03-28,1,734002,"West",19,"Y",2.40549828178694,0.0396456685404127,"Medium"
"69","Alaska",2020-03-20,2,14,0,0,153.3366325725,53863,-25,24,2,-25.5,12,2020-03-28,1,734002,"West",0,"N",0,0.00190735175108515,NA
"70","Alaska",2020-04-10,11,244,0,5,80.8034572698,77386,-51,30,-10,-44.5,18.5,2020-03-28,1,734002,"West",14,"Y",2.04918032786885,0.0332424162331983,"Strict"
"71","Alaska",2020-04-13,5,275,0,6,73.4576884270909,78638,-52,9,-14.5,-40.5,15.5,2020-03-28,1,734002,"West",17,"Y",2.18181818181818,0.037465837967744,"Medium"
"72","Alaska",2020-03-30,6,120,0,2,126.324850626667,71276,-49,25,-19.5,-45,16.5,2020-03-28,1,734002,"West",3,"Y",1.66666666666667,0.0163487292950155,"Medium"
"73","Alaska",2020-04-29,4,353,0,7,58.4739882548572,84076,-38,88,3,-35.5,13,2020-03-28,1,734002,"West",33,"Y",1.98300283286119,0.0480925120095041,"Loose"
"74","Alaska",2020-04-22,6,333,0,7,62.9719873513846,82741,-45,53,-7,-39.5,15.5,2020-03-28,1,734002,"West",26,"Y",2.1021021021021,0.0453677237936681,"Medium"
"75","Alaska",2020-03-15,0,1,0,0,462.5720672,32847,7,62,16,-3,1,2020-03-28,1,734002,"West",0,"N",0,0.000136239410791796,NA
"76","Alaska",2020-04-11,10,255,1,6,73.4576884270909,78638,-54,29,-6,-32,13,2020-03-28,1,734002,"West",15,"Y",2.35294117647059,0.034741049751908,"Loose"
"77","Alaska",2020-04-26,1,339,0,7,58.4739882548571,84076,-43,172,1,-23,6,2020-03-28,1,734002,"West",30,"Y",2.06489675516224,0.0461851602584189,"Loose"
"78","Alaska",2020-03-17,2,6,0,0,190.117428166667,46184,-11,-1,10,-17,9,2020-03-28,1,734002,"West",0,"N",0,0.000817436464750777,NA
"79","Alaska",2020-04-20,2,319,0,7,62.9719873513846,82741,-45,16,-10,-41,14,2020-03-28,1,734002,"West",24,"Y",2.19435736677116,0.043460372042583,"Medium"
"80","Alaska",2020-03-24,6,42,0,0,126.324850626667,71276,-40,19,-12,-38,15.5,2020-03-28,1,734002,"West",0,"N",0,0.00572205525325544,NA
"81","Alaska",2020-04-28,6,349,0,7,58.4739882548571,84076,-38,114,-2.5,-35.5,3.5,2020-03-28,1,734002,"West",32,"Y",2.00573065902579,0.0475475543663369,"Loose"
"82","Alaska",2020-04-02,1,145,0,2,108.552396805714,72385,-50,-22,-15,-45,19.5,2020-03-28,1,734002,"West",6,"Y",1.37931034482759,0.0197547145648105,"Strict"
"83","Alaska",2020-03-29,12,114,1,2,126.324850626667,71276,-53,51,-26.5,-31.5,11,2020-03-28,1,734002,"West",2,"Y",1.75438596491228,0.0155312928302648,"Loose"
"84","Alaska",2020-04-14,8,283,1,7,73.4576884270909,78638,-49,24,-13,-41.5,16.5,2020-03-28,1,734002,"West",18,"Y",2.47349823321555,0.0385557532540783,"Medium"
"85","Alaska",2020-03-31,13,133,0,2,126.324850626667,71276,-45,25,-16,-43,17.5,2020-03-28,1,734002,"West",4,"Y",1.50375939849624,0.0181198416353089,"Strict"
"86","Alaska",2020-03-18,2,9,0,0,153.3366325725,53863,-11,5,8.5,-18.5,9,2020-03-28,1,734002,"West",0,"N",0,0.00122615469712617,NA
"87","Alaska",2020-03-19,3,12,0,0,153.3366325725,53863,-24,-1,4,-23.5,11,2020-03-28,1,734002,"West",0,"N",0,0.00163487292950155,NA
"88","Alaska",2020-03-26,10,69,0,0,126.324850626667,71276,-44,46,-15.5,-40.5,16,2020-03-28,1,734002,"West",0,"N",0,0.00940051934463394,NA
"89","Alaska",2020-05-01,9,362,0,7,58.4739882548572,84076,-38,63,9.5,-34,12,2020-03-28,1,734002,"West",35,"Y",1.93370165745856,0.0493186667066302,"Loose"
"90","Alaska",2020-03-25,17,59,0,0,126.324850626667,71276,-41,10,-14.5,-40,16.5,2020-03-28,1,734002,"West",0,"N",0,0.00803812523671598,NA
"91","Alaska",2020-04-21,8,327,0,7,62.9719873513846,82741,-47,18,-11,-41,16,2020-03-28,1,734002,"West",25,"Y",2.14067278287462,0.0445502873289174,"Medium"
"92","Alaska",2020-03-12,0,1,0,0,462.5720672,32847,-3,10,24,-9,3,2020-03-28,1,734002,"West",0,"N",0,0.000136239410791796,NA
"93","Alaska",2020-04-01,10,143,0,2,126.324850626667,71276,-42,-2,-8.5,-42.5,17.5,2020-03-28,1,734002,"West",5,"Y",1.3986013986014,0.0194822357432269,"Strict"
"94","Alaska",2020-03-14,0,1,0,0,462.5720672,32847,1,23,20,-2,2,2020-03-28,1,734002,"West",0,"N",0,0.000136239410791796,NA
"95","Alaska",2020-04-07,21,211,0,4,80.8034572698,77386,-46,2,-14.5,-43.5,17.5,2020-03-28,1,734002,"West",11,"Y",1.8957345971564,0.028746515677069,"Strict"
"96","Alaska",2020-04-09,10,233,0,5,80.8034572698,77386,-50,25,-13.5,-44,17.5,2020-03-28,1,734002,"West",13,"Y",2.14592274678112,0.0317437827144885,"Strict"
"97","Alaska",2020-04-05,14,183,1,4,95.632444902875,73620,-51,58,-14,-30.5,10,2020-03-28,1,734002,"West",9,"Y",2.18579234972678,0.0249318121748987,"Loose"
"98","Alaska",2020-04-04,13,169,1,3,95.632444902875,73620,-48,21,-14.5,-33,14,2020-03-28,1,734002,"West",8,"Y",1.77514792899408,0.0230244604238136,"Medium"
"99","Alaska",2020-04-23,2,335,0,7,62.9719873513846,82741,-48,31,-5.5,-41,16,2020-03-28,1,734002,"West",27,"Y",2.08955223880597,0.0456402026152517,"Medium"
"100","Alaska",2020-04-03,10,156,0,2,95.632444902875,73620,-46,11,-13.5,-43,18.5,2020-03-28,1,734002,"West",7,"Y",1.28205128205128,0.0212533480835202,"Strict"
"101","Alaska",2020-04-12,15,270,0,6,73.4576884270909,78638,-60,-2,-33.5,-35.5,11,2020-03-28,1,734002,"West",16,"Y",2.22222222222222,0.036784640913785,"Loose"
"102","Alaska",2020-04-08,12,223,1,5,80.8034572698,77386,-48,29,-14,-43,18,2020-03-28,1,734002,"West",12,"Y",2.24215246636771,0.0303813886065706,"Strict"
"103","Alaska",2020-04-30,0,353,0,7,58.4739882548572,84076,-41,56,2,-36.5,13.5,2020-03-28,1,734002,"West",34,"Y",1.98300283286119,0.0480925120095041,"Loose"
"104","Alaska",2020-05-02,1,363,0,7,58.4739882548572,84076,-31,133,18,-22.5,6,2020-03-28,1,734002,"West",36,"Y",1.92837465564738,0.049454906117422,"Loose"
"105","Alaska",2020-04-16,6,298,0,7,62.9719873513846,82741,-50,3,-6,-42,17,2020-03-28,1,734002,"West",20,"Y",2.3489932885906,0.0405993444159553,"Medium"
"106","Arizona",2020-02-16,0,1,0,0,885.0461576,436313,1,23,1,0,-1,2020-03-31,65,7378494,"West",0,"N",0,1.35529011746842e-05,NA
"107","Arizona",2020-03-21,30,104,0,1,304.69102624,658933,-12,-10.8,-0.545454545454545,-19.1818181818182,9,2020-03-31,65,7378494,"West",0,"N",0.961538461538462,0.00140950172216715,NA
"108","Arizona",2020-03-12,0,9,0,0,937.891859333333,558817,-4.66666666666667,-16,13.3333333333333,-10,3,2020-03-31,65,7378494,"West",0,"N",0,0.000121976110572157,NA
"109","Arizona",2020-03-17,1,20,0,0,578.458708254,574970,2.5,13,24.4,-25.2,6.2,2020-03-31,65,7378494,"West",0,"N",0,0.000271058023493683,NA
"110","Arizona",2020-04-29,254,7202,11,308,243.447612628467,685974,-20,-15.9230769230769,-5.35714285714286,-38.2666666666667,12.6923076923077,2020-03-31,65,7378494,"West",30,"Y",4.27658983615662,0.0976079942600753,"Loose"
"112","Arizona",2020-02-17,0,1,0,0,885.0461576,436313,-2,38,0,-28,5,2020-03-31,65,7378494,"West",0,"N",0,1.35529011746842e-05,NA
"113","Arizona",2020-04-14,104,3806,9,130,243.447612628467,685974,-27.8333333333333,-20.5384615384615,-15.6428571428571,-38.6,14.5384615384615,2020-03-31,65,7378494,"West",15,"Y",3.41565948502365,0.0515823418708479,"Medium"
"114","Arizona",2020-03-26,102,508,3,6,271.359728076154,680188,-24.5,-22.5,-12,-36.9230769230769,14.0833333333333,2020-03-31,65,7378494,"West",0,"N",1.18110236220472,0.00688487379673955,NA
"115","Arizona",2020-03-13,0,9,0,0,937.891859333333,558817,-6.66666666666667,-12,18.6666666666667,-12.3333333333333,4,2020-03-31,65,7378494,"West",0,"N",0,0.000121976110572157,NA
"116","Arizona",2020-03-22,49,153,1,2,304.69102624,658933,-19.9,-2.1,-9.54545454545454,-25.5454545454545,8.25,2020-03-31,65,7378494,"West",0,"N",1.30718954248366,0.00207359387972668,NA
"117","Arizona",2020-03-08,0,5,0,0,474.4388315,471505,11,28.5,0.5,0.5,-2,2020-03-31,65,7378494,"West",0,"N",0,6.77645058734208e-05,NA
"118","Arizona",2020-04-26,246,6526,2,277,243.447612628467,685974,-29.5,-7.61538461538461,-16.3076923076923,-32.2142857142857,9,2020-03-31,65,7378494,"West",27,"Y",4.24456022065584,0.0884462330659888,"Loose"
"119","Arizona",2020-03-05,0,2,0,0,885.0461576,436313,5,20,4,2,-1,2020-03-31,65,7378494,"West",0,"N",0,2.71058023493683e-05,NA
"120","Arizona",2020-04-02,187,1600,11,32,243.447612628467,685974,-27,-20.9230769230769,-12.9333333333333,-39.8666666666667,15.0769230769231,2020-03-31,65,7378494,"West",3,"Y",2,0.0216846418794947,"Medium"
"121","Arizona",2020-04-30,446,7648,12,320,243.447612628467,685974,-22,-13.3076923076923,-3.85714285714286,-38.7333333333333,13.0769230769231,2020-03-31,65,7378494,"West",31,"Y",4.18410041841004,0.103652588183984,"Loose"
"122","Arizona",2020-04-11,281,3393,15,107,243.447612628467,685974,-39.75,-37.0769230769231,-20.7692307692308,-32.6428571428571,13.3333333333333,2020-03-31,65,7378494,"West",12,"Y",3.1535514294135,0.0459849936857033,"Loose"
"123","Arizona",2020-03-14,2,12,0,0,706.7064861775,561765,-6,-3.33333333333333,19.5,-2,1.33333333333333,2020-03-31,65,7378494,"West",0,"N",0,0.00016263481409621,NA
"124","Arizona",2020-04-15,156,3962,12,142,243.447612628467,685974,-24.3333333333333,-17.1538461538462,-9.28571428571429,-38.2,13.6153846153846,2020-03-31,65,7378494,"West",16,"Y",3.58404846037355,0.0536965944540986,"Loose"
"125","Arizona",2020-04-19,210,4929,7,188,243.447612628467,685974,-32.0833333333333,-10.0769230769231,-21.8461538461538,-32.3571428571429,9.77777777777778,2020-03-31,65,7378494,"West",20,"Y",3.81416108744167,0.0668022498900182,"Loose"
"126","Arizona",2020-03-07,2,5,0,0,474.4388315,471505,11.5,30.5,1.5,1,-1.5,2020-03-31,65,7378494,"West",0,"N",0,6.77645058734208e-05,NA
"127","Arizona",2020-03-19,17,47,0,0,403.700683385,615175,-8,-11.4285714285714,8,-32.375,11.625,2020-03-31,65,7378494,"West",0,"N",0,0.000636986355210155,NA
"128","Arizona",2020-02-19,0,1,0,0,885.0461576,436313,7,11,0,1,0,2020-03-31,65,7378494,"West",0,"N",0,1.35529011746842e-05,NA
"129","Arizona",2020-04-27,190,6716,0,277,243.447612628467,685974,-23.9166666666667,-16.3076923076923,-7.85714285714286,-36.1333333333333,12.6153846153846,2020-03-31,65,7378494,"West",28,"Y",4.12447885646218,0.0910212842891788,"Loose"
"130","Arizona",2020-05-01,314,7962,10,330,243.447612628467,685974,-21.0833333333333,-6.23076923076923,-1.42857142857143,-35.6666666666667,13.1666666666667,2020-03-31,65,7378494,"West",32,"Y",4.14468726450641,0.107908199152835,"Loose"
"131","Arizona",2020-04-08,149,2726,14,79,243.447612628467,685974,-29.3333333333333,-31.3076923076923,-16.0769230769231,-40.6,14.9230769230769,2020-03-31,65,7378494,"West",9,"Y",2.8980190755686,0.036945208602189,"Medium"
"132","Arizona",2020-04-12,146,3539,9,116,243.447612628467,685974,-44.1666666666667,-32.6923076923077,-34.5714285714286,-38.2142857142857,10.6666666666667,2020-03-31,65,7378494,"West",13,"Y",3.27776207968353,0.0479637172572072,"Loose"
